LocalAuthority,IndicatorCode,Year,LA_IndicatorCash,LA_NumeratorCash,LA_DenominatorCash,Scotland_IndicatorCash,Scotland_NumeratorCash,Scotland_DenominatorCash,IndicatorCash_FG,NumeratorCash_FG,DenominatorCash_FG,FamilyGroup
Aberdeenshire,ENV04b,2010-12,0.245363793,,,0.305,,,0.320399959,,,Rural
Aberdeenshire,ENV04b,2011-13,0.231,,,0.294,,,0.3104375,,,Rural
Aberdeenshire,ENV04b,2012-14,0.227,,,0.287,,,0.282825,,,Rural
Aberdeenshire,ENV04b,2013-15,0.233835693,,,0.2903,,,0.30217954,,,Rural
Aberdeenshire,ENV04b,2014-16,0.23001459,,,0.2895,,,0.300597684,,,Rural
Aberdeenshire,ENV04b,2015-17,0.248004375,,,0.295360469,,,0.307388253,,,Rural
Aberdeenshire,ENV04b,2016-18,0.266216246,,,0.301582834,,,0.311427938,,,Rural
Aberdeenshire,ENV04b,2017-19,0.269646853,,,0.30026555,,,0.307526647,,,Rural
Aberdeenshire,ENV04b,2018-20,0.275143047,,,0.305720104,,,0.310431023,,,Rural
Aberdeenshire,ENV04b,2019-21,0.233,,,0.298,,,0.29925,,,Rural
Aberdeenshire,ENV04b,2020-22,0.200791957,,,0.275982195,,,0.280666512,,,Rural
Aberdeenshire,ENV04b,2021-23,0.213917282,,,0.274254026,,,0.280828803,,,Rural
Aberdeenshire,ENV04c,2009-11,0.237085254,,,0.358,,,0.379613822,,,Rural
Aberdeenshire,ENV04c,2010-12,0.237388601,,,0.363,,,0.391791957,,,Rural
Aberdeenshire,ENV04c,2011-13,0.218,,,0.35,,,0.37925,,,Rural
Aberdeenshire,ENV04c,2012-14,0.2208,,,0.352,,,0.3637375,,,Rural
Aberdeenshire,ENV04c,2013-15,0.225754716,,,0.361,,,0.373789774,,,Rural
Aberdeenshire,ENV04c,2014-16,0.199753521,,,0.348,,,0.354539018,,,Rural
Aberdeenshire,ENV04c,2015-17,0.214172483,,,0.347600513,,,0.361315044,,,Rural
Aberdeenshire,ENV04c,2016-18,0.24039506,,,0.35895545,,,0.372628207,,,Rural
Aberdeenshire,ENV04c,2017-19,0.245450825,,,0.357072157,,,0.376281561,,,Rural
Aberdeenshire,ENV04c,2018-20,0.234662579,,,0.34956385,,,0.369101039,,,Rural
Aberdeenshire,ENV04c,2019-21,0.199,,,0.34,,,0.35475,,,Rural
Aberdeenshire,ENV04c,2020-22,0.182418138,,,0.336062479,,,0.339442473,,,Rural
Aberdeenshire,ENV04c,2021-23,0.174235879,,,0.314854915,,,0.32881331,,,Rural
Aberdeenshire,ENV04d,2009-11,0.230335401,,,0.35,,,0.385909229,,,Rural
Aberdeenshire,ENV04d,2010-12,0.218979538,,,0.36,,,0.401213198,,,Rural
Aberdeenshire,ENV04d,2011-13,0.208,,,0.348,,,0.3883,,,Rural
Aberdeenshire,ENV04d,2012-14,0.2331,,,0.366,,,0.3849375,,,Rural
Aberdeenshire,ENV04d,2013-15,0.227128003,,,0.3735,,,0.400218961,,,Rural
Aberdeenshire,ENV04d,2014-16,0.188200571,,,0.3474,,,0.3741524,,,Rural
Aberdeenshire,ENV04d,2015-17,0.185188252,,,0.3457,,,0.378262341,,,Rural
Aberdeenshire,ENV04d,2016-18,0.220073536,,,0.361599466,,,0.389136742,,,Rural
Aberdeenshire,ENV04d,2017-19,0.228299927,,,0.362534816,,,0.387727044,,,Rural
Aberdeenshire,ENV04d,2018-20,0.20816896,,,0.35139268,,,0.374459568,,,Rural
Aberdeenshire,ENV04d,2019-21,0.19,,,0.336,,,0.360375,,,Rural
Aberdeenshire,ENV04d,2020-22,0.181472732,,,0.332432727,,,0.355119852,,,Rural
Aberdeenshire,ENV04d,2021-23,0.183134183,,,0.327070961,,,0.351641808,,,Rural
Aberdeenshire,ENV04e,2007-11,0.305764247,,,0.419,,,0.444041939,,,Rural
Aberdeenshire,ENV04e,2008-12,0.267712326,,,0.383416073,,,0.437517714,,,Rural
Aberdeenshire,ENV04e,2009-13,0.278,,,0.401,,,0.4478375,,,Rural
Aberdeenshire,ENV04e,2010-14,0.3074,,,0.394,,,0.4469625,,,Rural
Aberdeenshire,ENV04e,2011-15,0.286412484,,,0.393141015,,,0.457626371,,,Rural
Aberdeenshire,ENV04e,2012-16,0.310598861,,,0.401361598,,,0.463957695,,,Rural
Aberdeenshire,ENV04e,2013-17,0.302540648,,,0.395043418,,,0.449276169,,,Rural
Aberdeenshire,ENV04e,2014-18,0.294159679,,,0.389887904,,,0.440088895,,,Rural
Aberdeenshire,ENV04e,2015-19,0.306739934,,,0.382482549,,,0.435668388,,,Rural
Aberdeenshire,ENV04e,2016-20,0.301475916,,,0.378305997,,,0.43443606,,,Rural
Aberdeenshire,ENV04e,2017-21,0.302,,,0.383,,,0.4405,,,Rural
Aberdeenshire,ENV04e,2018-22,0.273345673,,,0.3665008,,,0.425269152,,,Rural
Aberdeenshire,ENV05,2010-11,25343.8,6229,245780,24335.41,127081.923,5222100,36283.7275,3125,110796.25,Rural
Aberdeenshire,ENV05,2011-12,22023.42,5453,247600,21910.25,115134,5254800,34825.38125,2788.125,111188.75,Rural
Aberdeenshire,ENV05,2012-13,20963.45,5357,255540,21357.84,113487,5313600,32855.8075,2666,114023.75,Rural
Aberdeenshire,ENV05,2013-14,21444.09,5527,257740,22884.17,121920,5327700,26402.04125,2565.375,114381.25,Rural
Aberdeenshire,ENV05,2014-15,21362.76,5565,260500,22272.05,119102,5347600,25893.44125,2565.375,114662.5,Rural
Aberdeenshire,ENV05,2015-16,23034.05,6034,261960,22341.52,120041,5373000,27844.42625,2740.5,114825,Rural
Aberdeenshire,ENV05,2016-17,22148.06,5807,262190,21377.32,115538,5404700,28440.59375,2695.125,115011.25,Rural
Aberdeenshire,ENV05,2017-18,18514.13,4847,261800,21388.07,116026,5424800,30689.94625,2751,115005,Rural
Aberdeenshire,ENV05,2018-19,19570.12,5117,261470,20759.46,112892,5438100,29845.15,2762.75,114917.5,Rural
Aberdeenshire,ENV05,2019-20,18203.74,4755,261210,19732.51,107804.6327,5463300,28664.375,2640.125,114898.75,Rural
Aberdeenshire,ENV05,2020-21,18728.43,4884,260780,18998.17,103844,5466000,29398.055,2694.75,114617.5,Rural
Aberdeenshire,ENV05,2021-22,20647.91,5424,262690,22170.11,121490,5479900,33467.52625,3000.75,115487.5,Rural
Aberdeenshire,ENV05a,2012-13,4790,1225,255540,5120,27204,5313600,7337.5,606,114023.75,Rural
Aberdeenshire,ENV05a,2013-14,4130,1065,257740,5610,29862,5327700,7233.75,631.25,114381.25,Rural
Aberdeenshire,ENV05a,2014-15,5330,1389,260500,5590,29911,5347600,7313.75,684.625,114662.5,Rural
Aberdeenshire,ENV05a,2015-16,5370,1406,261960,5740,30818,5373000,7793.75,711,114825,Rural
Aberdeenshire,ENV05a,2016-17,5340,1400,262190,5490,29695,5404700,8138.75,682.5,115011.25,Rural
Aberdeenshire,ENV05a,2017-18,5370,1407,261800,5890,31956,5424800,8836.25,710.875,115005,Rural
Aberdeenshire,ENV05a,2018-19,5580,1459,261470,5890,32031,5438100,8737.5,739.125,114917.5,Rural
Aberdeenshire,ENV05a,2019-20,4800,1255,261210,5950,32522.3456,5463300,8110,691.5,114898.75,Rural
Aberdeenshire,ENV05a,2020-21,5400,1408,260780,5930,32401,5466000,8833.75,848.125,114617.5,Rural
Aberdeenshire,ENV05a,2021-22,5210,1368,262690,5930,32501,5479900,10591.25,901.125,115487.5,Rural
Aberdeenshire,ENV05b,2012-13,16169.7,4132,255540,16238.1,86283,5313600,25516.825,2060,114023.75,Rural
Aberdeenshire,ENV05b,2013-14,17312,4462,257740,17279.1,92058,5327700,19167.9,1934.125,114381.25,Rural
Aberdeenshire,ENV05b,2014-15,16030.7,4176,260500,16678.7,89191,5347600,18577.9375,1880.75,114662.5,Rural
Aberdeenshire,ENV05b,2015-16,17666.8,4628,261960,16605.8,89223,5373000,20050.225,2029.5,114825,Rural
Aberdeenshire,ENV05b,2016-17,16808.4,4407,262190,15883,85843,5404700,20302.6,2012.625,115011.25,Rural
Aberdeenshire,ENV05b,2017-18,13139.8,3440,261800,15497.3,84070,5424800,21854.5125,2040.125,115005,Rural
Aberdeenshire,ENV05b,2018-19,13990.1,3658,261470,14869.3,80861,5438100,21105.525,2023.625,114917.5,Rural
Aberdeenshire,ENV05b,2019-20,13399.2,3500,261210,13779.6,75282.2871,5463300,20553.4,1948.625,114898.75,Rural
Aberdeenshire,ENV05b,2020-21,13329.2,3476,260780,13070.4,71443,5466000,20563.2625,1846.625,114617.5,Rural
Aberdeenshire,ENV05b,2021-22,15440.3,4056,262690,16239.2,88989,5479900,22875.8125,2099.625,115487.5,Rural
Aberdeenshire,ENV06,2010-11,0.323902933,,,0.386914858,,,0.316960693,,,Rural
Aberdeenshire,ENV06,2011-12,0.335926435,,,0.400885944,,,0.310701346,,,Rural
Aberdeenshire,ENV06,2012-13,0.355503106,,,0.411496033,,,0.302626496,,,Rural
Aberdeenshire,ENV06,2013-14,0.358238545,,,0.422019145,,,0.323475552,,,Rural
Aberdeenshire,ENV06,2014-15,0.399,,,0.428,,,0.276625,,,Rural
Aberdeenshire,ENV06,2015-16,0.436870508,,,0.442158836,,,0.294954219,,,Rural
Aberdeenshire,ENV06,2016-17,0.434575129,,,0.451981333,,,0.29860939,,,Rural
Aberdeenshire,ENV06,2017-18,0.436519781,,,0.456004586,,,0.304908134,,,Rural
Aberdeenshire,ENV06,2018-19,0.434,,,0.447,,,0.306,,,Rural
Aberdeenshire,ENV06,2019-20,0.439776329,,,0.448542043,,,0.323777667,,,Rural
Aberdeenshire,ENV06,2020-21,0.408366898,,,0.42,,,0.336857058,,,Rural
Aberdeenshire,ENV06,2021-22,0.411,,,0.427,,,0.3585,,,Rural
Aberdeenshire,ENV07a,2010-14,0.740666667,,,0.823,,,0.864125,,,Rural
Aberdeenshire,ENV07a,2012-15,0.776666667,,,0.833333333,,,0.857916667,,,Rural
Aberdeenshire,ENV07a,2013-16,0.82,,,0.83,,,0.85625,,,Rural
Aberdeenshire,ENV07a,2014-17,0.84,,,0.816666667,,,0.8525,,,Rural
Aberdeenshire,ENV07a,2015-18,0.833333333,,,0.786666667,,,0.83875,,,Rural
Aberdeenshire,ENV07a,2016-19,0.810666667,,,0.763,,,0.814083333,,,Rural
Aberdeenshire,ENV07a,2017-20,0.800666667,,,0.743,,,0.81075,,,Rural
Aberdeenshire,ENV07a,2018-21,0.837333333,,,0.753,,,0.829083333,,,Rural
Aberdeenshire,ENV07a,2019-22,0.856666667,,,0.76,,,0.845416667,,,Rural
Aberdeenshire,ENV07b,2010-14,0.73,,,0.741,,,0.762458333,,,Least Deprived
Aberdeenshire,ENV07b,2012-15,0.733333333,,,0.743333333,,,0.76125,,,Least Deprived
Aberdeenshire,ENV07b,2013-16,0.763333333,,,0.736666667,,,0.739166667,,,Least Deprived
Aberdeenshire,ENV07b,2014-17,0.746666667,,,0.723333333,,,0.735416667,,,Least Deprived
Aberdeenshire,ENV07b,2015-18,0.736666667,,,0.696666667,,,0.72,,,Least Deprived
Aberdeenshire,ENV07b,2016-19,0.68,,,0.663,,,0.701,,,Least Deprived
Aberdeenshire,ENV07b,2017-20,0.676666667,,,0.626333333,,,0.6735,,,Least Deprived
Aberdeenshire,ENV07b,2018-21,0.646666667,,,0.599666667,,,0.660166667,,,Least Deprived
Aberdeenshire,ENV07b,2019-22,0.636666667,,,0.586666667,,,0.659583333,,,Least Deprived
Aberdeenshire,FINSUS01,2013-14,0.1622,,,0.1596,,,0.725325,,,Rural
Aberdeenshire,FINSUS01,2014-15,0.129,,,0.1668,,,0.7766625,,,Rural
Aberdeenshire,FINSUS01,2015-16,0.1129,,,0.1801,,,0.7816375,,,Rural
Aberdeenshire,FINSUS01,2016-17,0.0915,,,0.1727,,,0.840825,,,Rural
Aberdeenshire,FINSUS01,2017-18,0.0793,,,0.1701,,,0.825725,,,Rural
Aberdeenshire,FINSUS01,2018-19,0.0909,,,0.1657,,,0.999325,,,Rural
Aberdeenshire,FINSUS01,2019-20,0.0823,,,0.1695,,,0.8420625,,,Rural
Aberdeenshire,FINSUS01,2020-21,0.1303,,,0.2366,,,1.04815,,,Rural
Aberdeenshire,FINSUS01,2021-22,0.1413,,,0.2444,,,1.042975,,,Rural
Aberdeenshire,FINSUS02,2013-14,0.0308,,,0.0369,,,0.058025,,,Rural
Aberdeenshire,FINSUS02,2014-15,0.0426,,,0.0395,,,0.0523875,,,Rural
Aberdeenshire,FINSUS02,2015-16,0.0325,,,0.0406,,,0.04885,,,Rural
Aberdeenshire,FINSUS02,2016-17,0.016,,,0.0394,,,0.06375,,,Rural
Aberdeenshire,FINSUS02,2017-18,0.0211,,,0.0367,,,0.059325,,,Rural
Aberdeenshire,FINSUS02,2018-19,0.0197,,,0.0351,,,0.0562875,,,Rural
Aberdeenshire,FINSUS02,2019-20,0.0159,,,0.0363,,,0.0691125,,,Rural
Aberdeenshire,FINSUS02,2020-21,0.0133,,,0.0352,,,0.053625,,,Rural
Aberdeenshire,FINSUS02,2021-22,0.0138,,,0.0348,,,0.059675,,,Rural
Aberdeenshire,FINSUS03,2013-14,0.0629,,,0.0842,,,0.0816,,,Rural
Aberdeenshire,FINSUS03,2014-15,0.0647,,,0.0836,,,0.083528571,,,Rural
Aberdeenshire,FINSUS03,2015-16,0.0616,,,0.0782,,,0.0699875,,,Rural
Aberdeenshire,FINSUS03,2016-17,0.0647,,,0.0795,,,0.0719125,,,Rural
Aberdeenshire,FINSUS03,2017-18,0.0638,,,0.0803,,,0.0731,,,Rural
Aberdeenshire,FINSUS03,2018-19,0.0659,,,0.0789,,,0.0787,,,Rural
Aberdeenshire,FINSUS03,2019-20,0.0662,,,0.0719,,,0.07135,,,Rural
Aberdeenshire,FINSUS03,2020-21,0.0657,,,0.0624,,,0.063,,,Rural
Aberdeenshire,FINSUS03,2021-22,0.0661,,,0.0589,,,0.066125,,,Rural
Aberdeenshire,FINSUS04,2013-14,0.1533,,,0.2587,,,0.282433333,,,Rural
Aberdeenshire,FINSUS04,2014-15,0.1369,,,0.2413,,,0.266966667,,,Rural
Aberdeenshire,FINSUS04,2015-16,0.1284,,,0.2475,,,0.26385,,,Rural
Aberdeenshire,FINSUS04,2016-17,0.122,,,0.2436,,,0.28225,,,Rural
Aberdeenshire,FINSUS04,2017-18,0.123,,,0.2359,,,0.23475,,,Rural
Aberdeenshire,FINSUS04,2018-19,0.1137,,,0.2283,,,0.232925,,,Rural
Aberdeenshire,FINSUS04,2019-20,0.1267,,,0.2256,,,0.237675,,,Rural
Aberdeenshire,FINSUS04,2020-21,0.1417,,,0.2291,,,0.237925,,,Rural
Aberdeenshire,FINSUS04,2021-22,0.1466,,,0.2212,,,0.2389,,,Rural
Aberdeenshire,FINSUS05,2013-14,0.9942,504898,507860,0.9908,11664782,11773637,0.98215,276986.625,280397.75,Rural
Aberdeenshire,FINSUS05,2014-15,0.981,516839,526835,0.99,11728142.95,11846333.04,0.9873625,278677.75,281944.5,Rural
Aberdeenshire,FINSUS05,2015-16,0.9868,542983,550222,0.9896,11946960.91,12072520.05,0.98215,283671,287201,Rural
Aberdeenshire,FINSUS05,2016-17,1.0032,547235,545510,0.9935,11829193,11906720,0.9859875,278629,280364.875,Rural
Aberdeenshire,FINSUS05,2017-18,1.0007,553650,553263,0.9926,11925676.7,12014538,0.9876625,278343.375,279663,Rural
Aberdeenshire,FINSUS05,2018-19,1.0001,549411,549357,0.9939,12125603.55,12200185.38,0.9949125,279982.75,280545.125,Rural
Aberdeenshire,FINSUS05,2019-20,1.0002,587184,587061,0.9935,12612014.57,12694498.43,0.9806875,287142.375,290179.5,Rural
Aberdeenshire,FINSUS05,2020-21,1.0015,618417,617472,0.9744,13450592,13804571,0.97335,303171.25,308717,Rural
Aberdeenshire,FINSUS05,2021-22,1.0006,650771,650383,0.9825,14108177,14358973,0.9741,311822.375,316292.75,Rural
Aberdeenshire,HSN01b,2013-14,0.0447,1891591,42283671,0.055815672,57319118,1026935914,0.0615625,1858537.75,32739376.5,Least Deprived
Aberdeenshire,HSN01b,2014-15,0.0424,1861711,43929889,0.059489804,62768083,1055106567,0.0694875,2119399.125,34066438.25,Least Deprived
Aberdeenshire,HSN01b,2015-16,0.0458,2101208,45855014,0.062485767,68047638,1089010210,0.0709,2348553.5,35059762.25,Least Deprived
Aberdeenshire,HSN01b,2016-17,0.0478,2261074,47258842,0.064878716,72058742,1110668433,0.075775,2500789.25,35601458.75,Least Deprived
Aberdeenshire,HSN01b,2017-18,0.045972898,2240054,48725534,0.067474647,76007085,1126453979,0.077223615,2559056,35826025.75,Least Deprived
Aberdeenshire,HSN01b,2018-19,0.046000767,2308968,50194120,0.073263897,85064829,1161074317,0.081038002,2727307.375,36682516.63,Least Deprived
Aberdeenshire,HSN01b,2019-20,0.048544777,2584974,53249271,0.073135629,88013149,1203423696,0.084933863,2991029.125,37979971.63,Least Deprived
Aberdeenshire,HSN01b,2020-21,0.0488238,2765472,56641884,0.081886479,101774964,1242878747,0.107167094,3948010.75,39309647.5,Least Deprived
Aberdeenshire,HSN01b,2021-22,0.04980183,2943999,59114274,0.086710008,110052636,1269203387,0.113458022,4536560,40017022.25,Least Deprived
Aberdeenshire,HSN01b,2022-23,0.05417159,3261932,60214810,0.095925088,124362377,1296453092,0.112632906,5072657,40597008.25,Least Deprived
Aberdeenshire,HSN02,2013-14,0.0091,384465,42283671,0.012872804,13219545,1026935914,0.01435,369687.375,32739376.5,Least Deprived
Aberdeenshire,HSN02,2014-15,0.0062,271962,43929889,0.011561642,12198764,1055106567,0.0106,351179.75,34066438.25,Least Deprived
Aberdeenshire,HSN02,2015-16,0.0077,353270,45855014,0.010529306,11466522,1089010210,0.0106125,338441.375,35059762.25,Least Deprived
Aberdeenshire,HSN02,2016-17,0.0104,491592,47258842,0.009290929,10319141,1110668433,0.0111625,305191.125,35601458.75,Least Deprived
Aberdeenshire,HSN02,2017-18,0.012129698,591026,48725534,0.008936339,10066375,1126453979,0.011841207,344939.75,35826025.75,Least Deprived
Aberdeenshire,HSN02,2018-19,0.014916787,748735,50194120,0.009527453,11062081,1161074317,0.012580283,413691,36682516.63,Least Deprived
Aberdeenshire,HSN02,2019-20,0.020915892,1113756,53249271,0.010658114,12826227,1203423696,0.013567706,522407,37979971.63,Least Deprived
Aberdeenshire,HSN02,2020-21,0.027000744,1529373,56641884,0.013790819,17140316,1242878747,0.018482249,728505.375,39309647.5,Least Deprived
Aberdeenshire,HSN02,2021-22,0.027595281,1631275,59114274,0.016299412,20687269,1269203387,0.020305132,1001516,40017022.25,Least Deprived
Aberdeenshire,HSN02,2022-23,0.020261394,1220036,60214810,0.017087332,22152924,1300000000,0.020714746,1202563.125,40546293.5,Least Deprived
Aberdeenshire,HSN03,2013-14,0.7639,9844,12886,0.836904591,262583,313755,0.8347375,,,Least Deprived
Aberdeenshire,HSN03,2014-15,0.91,11660,12813,0.903758506,286336,316828,0.87235,7686.375,8964.625,Least Deprived
Aberdeenshire,HSN03,2015-16,0.9156,11765,12849,0.924963907,292789,316541,0.9178375,7911.5,8956.125,Least Deprived
Aberdeenshire,HSN03,2016-17,0.9221,11867,12869,0.936319803,294584,314619,0.925875,7873.375,8876.125,Least Deprived
Aberdeenshire,HSN03,2017-18,0.925142012,11889,12851,0.938909329,295256,314467,0.922655326,7757.875,8898,Least Deprived
Aberdeenshire,HSN03,2018-19,0.93086879,12011,12903,0.943216506,297565,315479,0.930385016,7957,8930.625,Least Deprived
Aberdeenshire,HSN03,2019-20,0.95407259,12381,12977,0.948621546,300252,316514,0.941380578,8225.125,8983.25,Least Deprived
Aberdeenshire,HSN03,2020-21,0.5994316,7804,13019,0.902551941,286970,317954,0.804603685,7396.375,9014.375,Least Deprived
Aberdeenshire,HSN03,2021-22,0.676985401,8857,13083,0.684538024,219582,320774,0.540046206,5785.875,9102.875,Least Deprived
Aberdeenshire,HSN03,2022-23,0.7822371,10252,13106,0.7091358,228853,322721,0.629503463,6095.5,9238.875,Least Deprived
Aberdeenshire,HSN04b,2013-14,14.16,435207,30734,10.16764276,8425346,828643,11.35875,211866.75,20130.25,Least Deprived
Aberdeenshire,HSN04b,2014-15,11.99,341260,28469,9.875812318,7648629,774481,10.515,172996.875,18186.875,Least Deprived
Aberdeenshire,HSN04b,2015-16,12.8,343044,26805,9.384331366,7263998,774056,10.94,183254.875,19042.25,Least Deprived
Aberdeenshire,HSN04b,2016-17,10.02,355661,35500,8.724794103,6202587,710915,10.34125,157838.75,17625.5,Least Deprived
Aberdeenshire,HSN04b,2017-18,8.390617168,251106,29927,7.500988933,5157755,687610,9.574393012,144346.875,17191.75,Least Deprived
Aberdeenshire,HSN04b,2018-19,8.861434552,251904,28427,7.79709406,5153809,660991,10.35131376,126894.875,15487,Least Deprived
Aberdeenshire,HSN04b,2019-20,10.48158108,284533,27146,7.333695305,4565350,622517,9.60381114,120383.25,14502.875,Least Deprived
Aberdeenshire,HSN04b,2020-21,12.12725525,214422,17681,7.279224385,3041522,417836,11.00030789,81190.625,8523.125,Least Deprived
Aberdeenshire,HSN04b,2021-22,10.55009325,299802,28417,9.1860436,5282416,575048,11.32226157,160921.5,14718.625,Least Deprived
Aberdeenshire,HSN04b,2022-23,14.13926518,442559,31300,9.680170949,5701127,588949,12.58730831,205461.125,16332.125,Least Deprived
Aberdeenshire,HSN05a,2015-16,0.4126,5301,12849,0.651651025,206228,316470,0.575125,5375.875,8956.625,Least Deprived
Aberdeenshire,HSN05a,2016-17,0.4376,5632,12869,0.711917072,222929,313139,0.6341875,5664.375,8873.875,Least Deprived
Aberdeenshire,HSN05a,2017-18,0.4447,5715,12851,0.753439736,236837,314341,0.6926375,6024.375,8890.625,Least Deprived
Aberdeenshire,HSN05a,2018-19,0.4776,6162,12903,0.809339262,255196,315314,0.75305,6516.5,8922.75,Least Deprived
Aberdeenshire,HSN05a,2019-20,0.547430069,7104,12977,0.840972227,265796,316058,0.783179482,6934.5,8973.125,Least Deprived
Aberdeenshire,HSN05a,2020-21,0.599585222,7806,13019,0.863548533,273953,317241,0.814922987,7220.125,9014.375,Least Deprived
Aberdeenshire,HSN05a,2021-22,0.679584193,8891,13083,0.876337667,280393,319960,0.845393649,7492,9102.875,Least Deprived
Aberdeenshire,SW01,2010-11,28.31,534261,15125,20.14,435041,21602215.96,21.14625,548521.155,10960,Least Deprived
Aberdeenshire,SW01,2011-12,29.46,579423,17071,19.77,435328.581,22016337.2,22.6125,550521.92,11730.5,Least Deprived
Aberdeenshire,SW01,2012-13,20.1,694946.2,13968,20.47,456571.26,22308242.84,24.7625,601998.865,13007.4075,Least Deprived
Aberdeenshire,SW01,2013-14,23.65,742749.8,17567,20.25,473916,23400190.84,23.66,638761.825,13826.75,Least Deprived
Aberdeenshire,SW01,2014-15,25.16,737611.16,18556,20.24,478739,23650952,24.53125,609883.235,14654.75,Least Deprived
Aberdeenshire,SW01,2015-16,26.93,759507.84,20450,21.19,491347,23185760,27.09375,649214.605,15383,Least Deprived
Aberdeenshire,SW01,2016-17,22.74,895951.16,20378,22.64,536137,23685883.52,25.94625,679977.87,16480.375,Least Deprived
Aberdeenshire,SW01,2017-18,24.6,920452,22644,23.77,563725,23712614.92,27.97125,706521.6817,17096.625,Least Deprived
Aberdeenshire,SW01,2018-19,22.11,1026220,22689,24.7,582874,23595781.56,24.57625,740488.645,15747,Least Deprived
Aberdeenshire,SW01,2019-20,22.7,1017198,23091,25.39,621082,24457442.5,25.1175,728055.2663,16076.5,Least Deprived
Aberdeenshire,SW01,2020-21,24.65,1086722,26789,27.62,674636,24422666.09,30.44875,756915.0496,18282.5,Least Deprived
Aberdeenshire,SW01,2021-22,22.39,1180972,26438,28.66,710530.3373,24790938.16,29.7825,793041.3508,19345.25,Least Deprived
Aberdeenshire,SW02,2010-11,0.0027,320,118333,0.0158,40275,2553788,0.0126,788.875,60102.625,Rural
Aberdeenshire,SW02,2011-12,0.0042,454,108177,0.0294,75938.912,2585837,0.0143375,891.875,58108.25,Rural
Aberdeenshire,SW02,2012-13,0.0222,2437,109676,0.0595,159104,2672604,0.02175,1528.875,61470.25,Rural
Aberdeenshire,SW02,2013-14,0.0259,3023,116654,0.0644,176308,2738703,0.0308125,2041.5,62493.75,Rural
Aberdeenshire,SW02,2014-15,0.0496,6088,122844,0.069,192980,2796594,0.0398875,2823.25,63836,Rural
Aberdeenshire,SW02,2015-16,0.0794,10066,126852,0.0665,191422,2876228,0.0473625,3630.375,65583.875,Rural
Aberdeenshire,SW02,2016-17,0.0813,10962,134820,0.0636,192362,3025639,0.070875,5396.5,68392.125,Rural
Aberdeenshire,SW02,2017-18,0.0772,11061,143232,0.068,211686,3112767,0.053925,4346.75,71818.25,Rural
Aberdeenshire,SW02,2018-19,0.0402,5881,146323,0.0725,240003,3312476,0.0510125,3981.25,74392.75,Rural
Aberdeenshire,SW02,2019-20,0.0389,6140,158008,0.0769,265984,3458888,0.0515125,4166.875,77994.625,Rural
Aberdeenshire,SW02,2020-21,0.0392,6809,173737,0.0813,306373.363,3768337,0.0528875,4562.625,85055,Rural
Aberdeenshire,SW02,2021-22,0.0466,8383,180071,0.084,329238,3920394,0.0574625,5289.25,88672.625,Rural
Aberdeenshire,SW03a,2010-11,0.566846618,,,0.589393084,,,0.603226675,,,Least Deprived
Aberdeenshire,SW03a,2011-12,0.549370444,,,0.591771475,,,0.598335626,,,Least Deprived
Aberdeenshire,SW03a,2012-13,0.556982343,,,0.597931349,,,0.598705925,,,Least Deprived
Aberdeenshire,SW03a,2013-14,0.560968042,,,0.597709628,,,0.602012531,,,Least Deprived
Aberdeenshire,SW03a,2014-15,0.568639414,,,0.599917216,,,0.605165324,,,Least Deprived
Aberdeenshire,SW03a,2015-16,0.567717455,,,0.606979596,,,0.60413157,,,Least Deprived
Aberdeenshire,SW03a,2016-17,0.579145003,,,0.601206663,,,0.610806977,,,Least Deprived
Aberdeenshire,SW03a,2017-18,0.589209249,,,0.617479785,,,0.619422916,,,Least Deprived
Aberdeenshire,SW03a,2018-19,0.568052392,,,0.610163094,,,0.610294065,,,Least Deprived
Aberdeenshire,SW03a,2019-20,0.561612666,,,0.606765932,,,0.59656044,,,Least Deprived
Aberdeenshire,SW03a,2020-21,0.57529069,,,0.617124173,,,0.612154969,,,Least Deprived
Aberdeenshire,SW03a,2021-22,0.58783337,,,0.6188,,,0.615283584,,,Least Deprived
Aberdeenshire,SW03a,2022-23,0.585663082,,,0.615180304,,,0.602030313,,,Least Deprived
Aberdeenshire,SW04b,2013-14,0.839837,,,0.85,,,0.850452375,,,Least Deprived
Aberdeenshire,SW04b,2015-16,0.885836776,,,0.84,,,0.837491233,,,Least Deprived
Aberdeenshire,SW04b,2017-18,0.8264,,,0.7997,,,0.8253625,,,Least Deprived
Aberdeenshire,SW04b,2019-20,0.843868,,,0.800251,,,0.838108125,,,Least Deprived
Aberdeenshire,SW04b,2021-22,0.7759,,,0.7812,,,0.8075125,,,Least Deprived
Aberdeenshire,SW04c,2013-14,0.8514,,,0.8281,,,0.8091375,,,Least Deprived
Aberdeenshire,SW04c,2015-16,0.8404,,,0.8271,,,0.817125,,,Least Deprived
Aberdeenshire,SW04c,2017-18,0.85,,,0.8113,,,0.830575,,,Least Deprived
Aberdeenshire,SW04c,2019-20,0.856841,,,0.807797,,,0.84463675,,,Least Deprived
Aberdeenshire,SW04c,2021-22,0.7826,,,0.7882,,,0.8294375,,,Least Deprived
Aberdeenshire,SW04d,2013-14,0.8369,,,0.8314,,,0.8265375,,,Least Deprived
Aberdeenshire,SW04d,2015-16,0.7863,,,0.7881,,,0.7824625,,,Least Deprived
Aberdeenshire,SW04d,2017-18,0.8385,,,0.7559,,,0.777575,,,Least Deprived
